year,sex,position_title,position_type,service_end_date,days_employed,pay_total,annual_rate,location,contract,bargaining_group_num,bargaining_group_title
2018,female,Librarian I,Full Time Employee,12/8/18 0:00,351,430.83,64989.6,U Mass Amherst,MTA/NEA USA Classified (A08),A08,MTA/NEA USA Classified
2018,male,Trades Worker,Full Time Employee,12/8/18 0:00,351,476.46,46628.66,U Mass Amherst,AFSCME Local 1776 (A01),A01,AFSCME Local 1776
2018,female,Senior Vice Provost,Full Time Employee,12/8/18 0:00,351,493.09,215139.86,U Mass Amherst,Non-Unit Professional (A53),A53,Non-Unit Professional
2018,male,Clinical Professor,Full Time Employee,6/9/18 0:00,169,500,67980.12,U Mass Lowell,MTA/NEA  MSP/UML Faculty (L90),L90,MTA/NEA  MSP/UML Faculty
2018,female,Clerk IV,Full Time Employee,12/8/18 0:00,351,512.6,53952.6,U Mass Amherst,MTA/NEA USA Classified (A08),A08,MTA/NEA USA Classified
2018,female,Clerk IV,Full Time Employee,12/22/18 0:00,365,546.2,43083.82,U Mass Boston,MTA/NEA Classified (B32),B32,MTA/NEA Classified
2018,male,"Distinguished Univ Prof,UMA",Full Time Employee,12/8/18 0:00,351,553.18,187174,U Mass Amherst,MTA/NEA MSP Faculty (A50),A50,MTA/NEA MSP Faculty
2018,female,Admin Asst II,Full Time Employee,10/13/18 0:00,295,565.39,42000.14,U Mass Worcester,Non-Unit Classified (W25),W25,Non-Unit Classified
2018,female,Senior Lecturer II A,Full Time Employee,12/8/18 0:00,351,760.3,112262.54,U Mass Amherst,MTA/NEA MSP Faculty (A50),A50,MTA/NEA MSP Faculty
2018,male,Professor,Full Time Employee,12/8/18 0:00,351,792.33,150109.258,U Mass Dartmouth,AFT Faculty Federation (D80),D80,AFT Faculty Federation
2018,female,Research Associate I,Full Time Employee,12/22/18 0:00,365,846.16,44000.06,U Mass Worcester,Non-Unit Professional (W60),W60,Non-Unit Professional
2018,female,Police Officer,Full Time Employee,12/22/18 0:00,365,863.6,44907.2,U Mass Worcester,NEPBA Police (W21),W21,NEPBA Police
2018,female,Librarian V U of M,Full Time Employee,12/8/18 0:00,351,876.91,115334.96,U Mass Amherst,MTA/NEA MSP Faculty (A50),A50,MTA/NEA MSP Faculty
2018,male,Janitor,Full Time Employee,8/18/18 0:00,239,912.04,27268.8,U Mass Worcester,AFSCME Trades and Building Svc (W20),W20,AFSCME Trades and Building Svc
2018,female,ContractsSpclst / DataAnalyst,Full Time Employee,12/22/18 0:00,365,964.4,50149,U Mass Boston,MTA/NEA Professional Staff (B42),B42,MTA/NEA Professional Staff
2018,female,Project Assistant II,Full Time Employee,12/22/18 0:00,365,969.23,41999.88,U Mass Worcester,Non-Unit Classified (W25),W25,Non-Unit Classified
2018,female,Project Associate,Full Time Employee,12/22/18 0:00,365,980.77,51000.04,U Mass Worcester,Non-Unit Professional (W60),W60,Non-Unit Professional
2018,female,Lecturer,Full Time Employee,3/3/18 0:00,71,1000,68767.67,U Mass Lowell,MTA/NEA  MSP/UML Faculty (L90),L90,MTA/NEA  MSP/UML Faculty
2018,female,Associate Dean - Health & Env,Full Time Employee,6/9/18 0:00,169,1000,176486.209,U Mass Lowell,Non-Unit Professional (L98),L98,Non-Unit Professional
2018,female,Vice Provost,Full Time Employee,9/29/18 0:00,281,1000,207076.588,U Mass Lowell,Non-Unit Professional (L98),L98,Non-Unit Professional
2018,female,Post Doc Assoc,Full Time Employee,1/20/18 0:00,29,1000,52000,U Mass Worcester,Residents/Post Docs (W63),W63,Residents/Post Docs
2018,female,Grant & Contract Specialist,Full Time Employee,12/22/18 0:00,365,1076.93,56000.1,U Mass Worcester,Non-Unit Professional (W60),W60,Non-Unit Professional
2018,female,Post Doc Assoc,Full Time Employee,1/20/18 0:00,29,1107.7,48000.004,U Mass Worcester,Residents/Post Docs (W63),W63,Residents/Post Docs
2018,female,Dir Labor & Employee Relations,Full Time Employee,12/8/18 0:00,351,1136.56,138182.154,U Mass Boston,Non-Unit Professional (B43),B43,Non-Unit Professional
2018,male,Technology Service Technician,Full Time Employee,12/22/18 0:00,365,1147.74,60876.395,U Mass Lowell,SEIU Professional (L95),L95,SEIU Professional
2018,male,Test Engineer - NERVE Center,Full Time Employee,12/22/18 0:00,365,1153.85,60000.2,U Mass Lowell,MTA/NEA Grants and Contracts (LR3),LR3,MTA/NEA Grants and Contracts
2018,male,Resident Pgy - 2,Full Time Employee,12/22/18 0:00,365,1213.46,67007.98,U Mass Worcester,Residents/Post Docs (W63),W63,Residents/Post Docs
2018,female,Clerk IV,Full Time Employee,12/22/18 0:00,365,1247.23,40534.78,U Mass Amherst,MTA/NEA USA Classified (A08),A08,MTA/NEA USA Classified
2018,female,Research Lab Tech I,Full Time Employee,12/22/18 0:00,365,1268.8,32988.8,U Mass Worcester,SHARE (W28),W28,SHARE
2018,male,Research Lab Tech I,Full Time Employee,12/22/18 0:00,365,1268.8,32988.8,U Mass Worcester,SHARE (W28),W28,SHARE
2018,male,"Dir, Parking & Transportation",Full Time Employee,12/8/18 0:00,351,1299.63,128249.835,U Mass Boston,Non-Unit Professional (B43),B43,Non-Unit Professional
2018,male,Research Associate Ii,Full Time Employee,1/20/18 0:00,29,1307.7,68000.14,U Mass Worcester,Non-Unit Professional (W60),W60,Non-Unit Professional
2018,female,Registered Nurse,Full Time Employee,9/29/18 0:00,281,1326.92,69000,U Mass Boston,MTA/NEA Professional Staff (B42),B42,MTA/NEA Professional Staff
2018,female,Admin Asst I,Full Time Employee,12/22/18 0:00,365,1414.1,41252.157,U Mass Worcester,Non-Unit Professional (W60),W60,Non-Unit Professional
2018,female,Program Director I,Full Time Employee,12/22/18 0:00,365,1442.31,75000.12,U Mass Worcester,Non-Unit Professional (W60),W60,Non-Unit Professional
2018,male,Assoc Medicaid Analyst,Full Time Employee,12/22/18 0:00,365,1471.16,38250.004,U Mass Worcester,Non-Unit Professional (W60),W60,Non-Unit Professional
2018,male,Assistant Professor,Full Time Employee,12/22/18 0:00,365,1500,241819.092,U Mass Lowell,Non-Unit Professional (L98),L98,Non-Unit Professional
2018,male,Classroom Technology Spec-DLC,Full Time Employee,2/17/18 0:00,57,1557.76,71973.5,U Mass Lowell,SEIU Professional (L95),L95,SEIU Professional
2018,female,Clerk IV,Full Time Employee,12/22/18 0:00,365,1559.04,40534.78,U Mass Amherst,MTA/NEA USA Classified (A08),A08,MTA/NEA USA Classified
2018,male,Maintainer I,Full Time Employee,12/22/18 0:00,365,1576.37,48599.46,U Mass Amherst,AFSCME Local 1776 (A01),A01,AFSCME Local 1776
2018,female,Administrative Assistant I,Full Time Employee,12/22/18 0:00,365,1645.86,42792.534,U Mass Lowell,MTA/NEA Classified/Technical (L92),L92,MTA/NEA Classified/Technical
2018,male,"Dining Hall Supervisor,U of M",Full Time Employee,12/22/18 0:00,365,1653.15,36744.5,U Mass Amherst,AFSCME Local 1776 (A01),A01,AFSCME Local 1776
2018,female,Research Lab Tech II,Full Time Employee,12/22/18 0:00,365,1663.12,41011.542,U Mass Worcester,Non-Unit Classified (W25),W25,Non-Unit Classified
2018,female,Research Coordinator Ii,Full Time Employee,1/20/18 0:00,29,1691.21,62816.635,U Mass Worcester,Non-Unit Professional (W60),W60,Non-Unit Professional
2018,male,Skilled Laborer,Full Time Employee,2/17/18 0:00,57,1697.81,38825.127,U Mass Lowell,MTA/NEA Maintenance/Trades (L93),L93,MTA/NEA Maintenance/Trades
2018,male,Culinary Worker II,Full Time Employee,10/13/18 0:00,295,1718.21,31625.36,U Mass Amherst,AFSCME Local 1776 (A01),A01,AFSCME Local 1776
2018,female,Cost Analyis & Compliance Supv,Full Time Employee,12/22/18 0:00,365,1719.16,89396.382,U Mass Worcester,Non-Unit Professional (W60),W60,Non-Unit Professional
2018,male,Sr Events Coordinator,Full Time Employee,12/22/18 0:00,365,1730.76,44999.76,U Mass Amherst,MTA/NEA Professional Staff (A52),A52,MTA/NEA Professional Staff
2018,male,"Electrician, Lead High Voltage",Full Time Employee,4/14/18 0:00,113,1747.25,99569.6,U Mass Worcester,AFSCME Trades and Building Svc (W20),W20,AFSCME Trades and Building Svc
2018,male,EH&S Associate,Full Time Employee,12/22/18 0:00,365,1809.57,53089.572,U Mass Worcester,Non-Unit Professional (W60),W60,Non-Unit Professional
2018,female,Clerk III,Full Time Employee,12/8/18 0:00,351,1891.61,48800.7,U Mass Amherst,MTA/NEA USA Classified (A08),A08,MTA/NEA USA Classified
2018,female,Research Assistant,Full Time Employee,12/22/18 0:00,365,1900.28,54346.5,U Mass Amherst,MTA/NEA USA Classified (A08),A08,MTA/NEA USA Classified
2018,male,Asst Snack Bar Manager U of M,Full Time Employee,12/22/18 0:00,365,2029.04,34165.56,U Mass Amherst,AFSCME Local 1776 (A01),A01,AFSCME Local 1776
2018,male,Sr Financial Research Admin,Full Time Employee,12/22/18 0:00,365,2100,78000,U Mass Lowell,SEIU Professional (L95),L95,SEIU Professional
2018,female,Procurement Specialist,Full Time Employee,12/22/18 0:00,365,2115.4,55000.14,U Mass Amherst,MTA/NEA Professional Staff (A52),A52,MTA/NEA Professional Staff
2018,female,Coord - Academic Progressions,Full Time Employee,12/22/18 0:00,365,2122.48,59159.999,U Mass Lowell,SEIU Professional (L95),L95,SEIU Professional
2018,female,Grants & Contracts Coord II,Full Time Employee,12/22/18 0:00,365,2141.84,52207.48,U Mass Amherst,MTA/NEA USA Classified (A08),A08,MTA/NEA USA Classified
2018,male,Technology Service Technician,Full Time Employee,12/22/18 0:00,365,2153.86,56000.1,U Mass Lowell,SEIU Professional (L95),L95,SEIU Professional
2018,female,Project Coordinator,Full Time Employee,12/22/18 0:00,365,2192.32,57000.06,U Mass Worcester,Non-Unit Professional (W60),W60,Non-Unit Professional
2018,female,Clerk IV,Full Time Employee,12/22/18 0:00,365,2247.51,38956.84,U Mass Amherst,MTA/NEA USA Classified (A08),A08,MTA/NEA USA Classified
2018,female,"Asst Dir, Financial Aid",Full Time Employee,12/22/18 0:00,365,2260.08,71999.98,U Mass Amherst,MTA/NEA Professional Staff (A52),A52,MTA/NEA Professional Staff
2018,male,Information Technology Intern,Full Time Employee,12/22/18 0:00,365,2280,66752.475,U Mass Worcester,Non-Unit Professional (W60),W60,Non-Unit Professional
2018,female,"Lecturer A, U of M",Full Time Employee,9/1/18 0:00,253,2307.7,59999.94,U Mass Amherst,MTA/NEA MSP Faculty (A50),A50,MTA/NEA MSP Faculty
2018,female,QC Analyst II,Full Time Employee,12/22/18 0:00,365,2338,60632,U Mass Worcester,Non-Unit Classified (W25),W25,Non-Unit Classified
2018,female,"Technician, Animal Care",Full Time Employee,12/22/18 0:00,365,2384.64,31000.06,U Mass Worcester,SHARE (W28),W28,SHARE
2018,male,Police Officer,Full Time Employee,4/28/18 0:00,127,2418.08,44907.2,U Mass Worcester,NEPBA Police (W21),W21,NEPBA Police
2018,female,Accountant II,Full Time Employee,12/22/18 0:00,365,2450.37,74970.001,U Mass Dartmouth,ESU Professional Local 1895 (D85),D85,ESU Professional Local 1895
2018,female,Computer Specialist,Full Time Employee,1/20/18 0:00,29,2495.6,57137.86,U Mass Amherst,MTA/NEA Professional Staff (A52),A52,MTA/NEA Professional Staff
2018,male,Storekeeper I,Full Time Employee,12/22/18 0:00,365,2539.51,34165.56,U Mass Amherst,AFSCME Local 1776 (A01),A01,AFSCME Local 1776
2018,male,Manufacturing Tech I,Full Time Employee,12/22/18 0:00,365,2584.86,33446.4,U Mass Worcester,Non-Unit Classified (W25),W25,Non-Unit Classified
2018,male,Culinary Worker,Full Time Employee,12/22/18 0:00,365,2612.19,32906.38,U Mass Amherst,AFSCME Local 1776 (A01),A01,AFSCME Local 1776
2018,female,Clerk IV,Full Time Employee,12/22/18 0:00,365,2652.21,45971.64,U Mass Amherst,Non-Unit Classified (A12),A12,Non-Unit Classified
2018,female,Clinician - Counseling Center,Full Time Employee,12/22/18 0:00,365,2692.31,102000,U Mass Lowell,SEIU Professional (L95),L95,SEIU Professional
2018,male,Painting Specialist,Full Time Employee,12/22/18 0:00,365,2712.4,43617.6,U Mass Worcester,AFSCME Trades and Building Svc (W20),W20,AFSCME Trades and Building Svc
2018,male,Maintainer I,Full Time Employee,12/22/18 0:00,365,2759.53,34165.56,U Mass Amherst,AFSCME Local 1776 (A01),A01,AFSCME Local 1776
2018,male,Skilled Laborer II,Full Time Employee,12/22/18 0:00,365,2792.27,45676.8,U Mass Worcester,AFSCME Trades and Building Svc (W20),W20,AFSCME Trades and Building Svc
2018,male,Utility Plant Operator,Full Time Employee,12/22/18 0:00,365,2881.14,72990.32,U Mass Amherst,AFSCME Local 1776 (A01),A01,AFSCME Local 1776
2018,female,Sr Electrical Engineer,Full Time Employee,12/22/18 0:00,365,2884.62,74999.86,U Mass Amherst,MTA/NEA Professional Staff (A52),A52,MTA/NEA Professional Staff
2018,male,"Director, SSC",Full Time Employee,12/22/18 0:00,365,2961.54,77000.04,U Mass Boston,MTA/NEA Professional Staff (B42),B42,MTA/NEA Professional Staff
2018,female,Associate Treasurer,Full Time Employee,12/8/18 0:00,351,3081.45,163439.913,U Mass Other Administrative,,,
2018,female,Police Officer,Full Time Employee,5/12/18 0:00,141,3108.96,44907.2,U Mass Worcester,NEPBA Police (W21),W21,NEPBA Police
2018,male,Research Lab Tech I,Full Time Employee,12/22/18 0:00,365,3172,32988.8,U Mass Worcester,SHARE (W28),W28,SHARE
2018,male,Admissions Counselor,Full Time Employee,10/13/18 0:00,295,3232.33,38199.998,U Mass Dartmouth,ESU Professional Local 1895 (D85),D85,ESU Professional Local 1895
2018,male,Manufacturing Tech II,Full Time Employee,2/3/18 0:00,43,3295.42,45095.397,U Mass Worcester,Non-Unit Classified (W25),W25,Non-Unit Classified
2018,female,Maintainer I,Full Time Employee,2/3/18 0:00,43,3319.16,36021.44,U Mass Amherst,AFSCME Local 1776 (A01),A01,AFSCME Local 1776
2018,female,Technical Assistant III (Educ),Full Time Employee,12/22/18 0:00,365,3376,59999.94,U Mass Amherst,MTA/NEA Professional Staff (A52),A52,MTA/NEA Professional Staff
2018,male,Clerk III,Full Time Employee,12/22/18 0:00,365,3533.1,36744.5,U Mass Amherst,MTA/NEA USA Classified (A08),A08,MTA/NEA USA Classified
2018,female,"Spec, Clinical Data Iii-Jp",Full Time Employee,1/20/18 0:00,29,3565.51,91558.55,U Mass Worcester,Non-Unit Classified (W25),W25,Non-Unit Classified
2018,male,Post Doc Assoc,Full Time Employee,12/22/18 0:00,365,3725.56,48432.02,U Mass Worcester,Residents/Post Docs (W63),W63,Residents/Post Docs
2018,male,Coordinator of Connect Program,Full Time Employee,12/22/18 0:00,365,3750,65000,U Mass Dartmouth,ESU Professional Local 1895 (D85),D85,ESU Professional Local 1895
2018,female,"Technical Assistant II,U of M",Full Time Employee,12/22/18 0:00,365,3897.6,40534.78,U Mass Amherst,MTA/NEA USA Classified (A08),A08,MTA/NEA USA Classified
2018,male,Research Associate,Full Time Employee,12/22/18 0:00,365,3999.96,72000.006,U Mass Dartmouth,AFT Faculty Federation (D80),D80,AFT Faculty Federation
2018,male,Departmental Assistant,Full Time Employee,12/22/18 0:00,365,4036.5,36744.5,U Mass Amherst,MTA/NEA USA Classified (A08),A08,MTA/NEA USA Classified
2018,female,Post Doc Scientist II,Full Time Employee,2/3/18 0:00,43,4093.06,70946.304,U Mass Worcester,Non-Unit Professional (W60),W60,Non-Unit Professional
2018,female,Communication Dispatcher I,Full Time Employee,12/22/18 0:00,365,4107.07,42628.04,U Mass Amherst,MTA/NEA USA Classified (A08),A08,MTA/NEA USA Classified
2018,female,Associate Professor,Full Time Employee,12/22/18 0:00,365,4107.98,124833.646,U Mass Boston,MSP/FSU Faculty & Librarian (B40),B40,MSP/FSU Faculty & Librarian
2018,male,"Carpentry Specialist, Sr",Full Time Employee,3/17/18 0:00,85,4139.72,61838.4,U Mass Worcester,AFSCME Trades and Building Svc (W20),W20,AFSCME Trades and Building Svc
2018,male,Audio Visual Equip Tech I,Full Time Employee,2/3/18 0:00,43,4272.4,56570.54,U Mass Amherst,MTA/NEA USA Classified (A08),A08,MTA/NEA USA Classified
2018,male,"Clerk, Data Entry Ii",Full Time Employee,12/22/18 0:00,365,4296.24,38542.4,U Mass Worcester,Non-Unit Professional (W60),W60,Non-Unit Professional
2018,male,"Technician, Animal Care",Full Time Employee,12/22/18 0:00,365,4337.1,30992,U Mass Worcester,SHARE (W28),W28,SHARE
2018,male,Technical Assistant III (Educ),Full Time Employee,12/22/18 0:00,365,4396.06,44358.86,U Mass Amherst,MTA/NEA USA Classified (A08),A08,MTA/NEA USA Classified
2018,female,Project Coordinator,Full Time Employee,12/22/18 0:00,365,4461.35,66374.757,U Mass Central Office,Non-Unit Professional (P72),P72,Non-Unit Professional
2018,female,"Mgr, Claims",Full Time Employee,12/22/18 0:00,365,4529.44,72072.184,U Mass Worcester,Non-Unit Professional (W60),W60,Non-Unit Professional
2018,male,Skilled Laborer I,Full Time Employee,12/22/18 0:00,365,4544.67,35498.06,U Mass Amherst,AFSCME Local 1776 (A01),A01,AFSCME Local 1776
2018,male,"Technical Assistant I, U of M",Full Time Employee,7/7/18 0:00,197,4554.52,36205.78,U Mass Amherst,MTA/NEA USA Classified (A08),A08,MTA/NEA USA Classified
2018,male,Facilities Spec-Mechanic,Full Time Employee,2/17/18 0:00,57,4596.75,52000,U Mass Worcester,Non-Unit Classified (W25),W25,Non-Unit Classified
2018,female,Asst Project Mgr - Facilities,Full Time Employee,12/22/18 0:00,365,4615.4,60000.2,U Mass Lowell,SEIU Professional (L95),L95,SEIU Professional
2018,female,Triage Nurse,Full Time Employee,12/22/18 0:00,365,4682.24,60869,U Mass Amherst,MTA/NEA Professional Staff (A52),A52,MTA/NEA Professional Staff
2018,female,Sr Training Spec/O.D. Spec,Full Time Employee,7/21/18 0:00,211,4708.42,70873.66,U Mass Amherst,MTA/NEA Professional Staff (A52),A52,MTA/NEA Professional Staff
2018,male,Equipment & Laboratory Mgr-FDC,Full Time Employee,12/22/18 0:00,365,4923.08,64000.04,U Mass Lowell,MTA/NEA Grants and Contracts (LR3),LR3,MTA/NEA Grants and Contracts
2018,male,Asst Dir - Alumni Outreach,Full Time Employee,6/9/18 0:00,169,5000,72721.901,U Mass Lowell,SEIU Professional (L95),L95,SEIU Professional
2018,female,Accountant I,Full Time Employee,12/22/18 0:00,365,5025.55,48394.06,U Mass Amherst,MTA/NEA USA Classified (A08),A08,MTA/NEA USA Classified
2018,male,Third Class Power Plant Engin,Full Time Employee,1/20/18 0:00,29,5111.82,73516.04,U Mass Dartmouth,AFT Massachusetts Maintainers (D83),D83,AFT Massachusetts Maintainers
2018,male,Skilled Laborer I,Full Time Employee,12/22/18 0:00,365,5117.67,47561.28,U Mass Amherst,AFSCME Local 1776 (A01),A01,AFSCME Local 1776
2018,male,Program Coordinator/Recruiter,Full Time Employee,2/17/18 0:00,57,5146.15,45000.02,U Mass Boston,MTA/NEA Professional Staff (B42),B42,MTA/NEA Professional Staff
2018,female,Intake Assistant,Full Time Employee,12/22/18 0:00,365,5384.61,39999.96,U Mass Worcester,SHARE (W28),W28,SHARE
2018,male,Steam Fireman,Full Time Employee,12/22/18 0:00,365,5454.57,47307.339,U Mass Lowell,MTA/NEA Maintenance/Trades (L93),L93,MTA/NEA Maintenance/Trades
2018,female,Clerk IV,Full Time Employee,12/22/18 0:00,365,5456.64,40534.78,U Mass Amherst,MTA/NEA USA Classified (A08),A08,MTA/NEA USA Classified
2018,female,Navitas Prog Student Advisor,Full Time Employee,12/22/18 0:00,365,5541.43,48025.607,U Mass Boston,MTA/NEA Professional Staff (B42),B42,MTA/NEA Professional Staff
2018,female,Clinical Research Assistant,Full Time Employee,12/22/18 0:00,365,5569.27,36200.06,U Mass Worcester,SHARE (W28),W28,SHARE
2018,male,Skilled Laborer,Full Time Employee,12/22/18 0:00,365,5616.26,36114.109,U Mass Lowell,MTA/NEA Maintenance/Trades (L93),L93,MTA/NEA Maintenance/Trades
2018,female,Business Coordinator,Full Time Employee,12/22/18 0:00,365,5639.27,70441.599,U Mass Boston,MTA/NEA Professional Staff (B42),B42,MTA/NEA Professional Staff
2018,female,Research Associate I,Full Time Employee,12/22/18 0:00,365,5643.48,57371.962,U Mass Worcester,Non-Unit Professional (W60),W60,Non-Unit Professional
2018,female,Clinical Research Assistant,Full Time Employee,6/23/18 0:00,183,5645.2,38000.04,U Mass Worcester,SHARE (W28),W28,SHARE
2018,female,"Asst, Accounts Payable Mgr",Full Time Employee,12/22/18 0:00,365,5663.48,98000.24,U Mass Worcester,Non-Unit Professional (W60),W60,Non-Unit Professional
2018,female,"Assistant Director, Admissions",Full Time Employee,12/22/18 0:00,365,5665.71,42799.9,U Mass Amherst,MTA/NEA Professional Staff (A52),A52,MTA/NEA Professional Staff
2018,male,"Dining Hall Supervisor,U of M",Full Time Employee,12/22/18 0:00,365,5671.86,38624.04,U Mass Amherst,AFSCME Local 1776 (A01),A01,AFSCME Local 1776
2018,male,Maintenance Technician II,Full Time Employee,12/22/18 0:00,365,5684.77,42229.72,U Mass Amherst,AFSCME Local 1776 (A01),A01,AFSCME Local 1776
2018,male,"Supv, Eligibility Operations",Full Time Employee,12/22/18 0:00,365,5769.24,60000.018,U Mass Worcester,Non-Unit Professional (W60),W60,Non-Unit Professional
2018,female,Intake Assistant,Full Time Employee,12/22/18 0:00,365,5846.4,38001.6,U Mass Worcester,SHARE (W28),W28,SHARE
2018,female,Senior Director - CFM,Full Time Employee,7/7/18 0:00,197,5860.06,101574.252,U Mass Worcester,Non-Unit Professional (W60),W60,Non-Unit Professional
2018,male,Clerk IV,Full Time Employee,12/22/18 0:00,365,5870.56,47010.34,U Mass Amherst,MTA/NEA USA Classified (A08),A08,MTA/NEA USA Classified
2018,female,Project Manager,Full Time Employee,2/17/18 0:00,57,5904.25,61404.143,U Mass Worcester,Non-Unit Professional (W60),W60,Non-Unit Professional
2018,female,Research Analyst,Full Time Employee,12/22/18 0:00,365,5923.12,44000.06,U Mass Central Office,Non-Unit Professional (P72),P72,Non-Unit Professional
2018,female,Clerk IV,Full Time Employee,12/22/18 0:00,365,5993.36,46758.66,U Mass Amherst,MTA/NEA USA Classified (A08),A08,MTA/NEA USA Classified
2018,female,Project Coordinator,Full Time Employee,3/17/18 0:00,85,6041.53,39270.02,U Mass Worcester,Non-Unit Professional (W60),W60,Non-Unit Professional
2018,male,LAN Administrator/Analyst,Full Time Employee,12/22/18 0:00,365,6057.7,63000.08,U Mass Amherst,MTA/NEA Professional Staff (A52),A52,MTA/NEA Professional Staff
2018,male,Maintainer II,Full Time Employee,11/24/18 0:00,337,6249.1,38498.189,U Mass Lowell,MTA/NEA Maintenance/Trades (L93),L93,MTA/NEA Maintenance/Trades
2018,female,"VC Diversity,Equity&Inclusion",Full Time Employee,12/22/18 0:00,365,6277.13,163205.482,U Mass Boston,Non-Unit Professional (B43),B43,Non-Unit Professional
2018,male,Distinguished Univ Professor,Full Time Employee,12/22/18 0:00,365,6362.9,165435.273,U Mass Boston,MSP/FSU Faculty & Librarian (B40),B40,MSP/FSU Faculty & Librarian
2018,female,PPR Specialist,Full Time Employee,2/17/18 0:00,57,6391.85,55396.12,U Mass Worcester,NAGE Admin and Professional (W50),W50,NAGE Admin and Professional
2018,female,Lecturer,Full Time Employee,12/22/18 0:00,365,6411.36,102000.004,U Mass Worcester,Non-Unit Professional (W60),W60,Non-Unit Professional
2018,male,Maintainer I,Full Time Employee,12/8/18 0:00,351,6442.09,41254.72,U Mass Amherst,AFSCME Local 1776 (A01),A01,AFSCME Local 1776
2018,male,"Sr Eng, Sys Admin",Full Time Employee,12/22/18 0:00,365,6518.91,113000.16,U Mass Worcester,Non-Unit Professional (W60),W60,Non-Unit Professional
2018,male,Post Doc Assoc,Full Time Employee,3/3/18 0:00,71,6590.8,42840.018,U Mass Worcester,Residents/Post Docs (W63),W63,Residents/Post Docs
2018,female,Primary Care Physician,Full Time Employee,12/22/18 0:00,365,6730.78,182070.2,U Mass Amherst,Non-Unit Professional (A53),A53,Non-Unit Professional
2018,male,Departmental Assistant,Full Time Employee,12/22/18 0:00,365,6760,36744.5,U Mass Amherst,MTA/NEA USA Classified (A08),A08,MTA/NEA USA Classified
2018,male,Departmental Assistant,Full Time Employee,12/22/18 0:00,365,6901.9,32906.38,U Mass Amherst,AFSCME Local 1776 (A01),A01,AFSCME Local 1776
2018,female,Res Coord/Interviewer - BPRHS,Full Time Employee,12/22/18 0:00,365,6923.05,45000.02,U Mass Lowell,MTA/NEA Grants and Contracts (LR3),LR3,MTA/NEA Grants and Contracts
2018,female,Maintainer I,Full Time Employee,12/8/18 0:00,351,7159.13,44653.44,U Mass Amherst,AFSCME Local 1776 (A01),A01,AFSCME Local 1776
2018,male,Associate Professor,Full Time Employee,12/8/18 0:00,351,7170.28,125180.68,U Mass Lowell,MTA/NEA  MSP/UML Faculty (L90),L90,MTA/NEA  MSP/UML Faculty
2018,female,Policy Analyst,Full Time Employee,2/3/18 0:00,43,7300.02,72999.94,U Mass Worcester,Non-Unit Professional (W60),W60,Non-Unit Professional
2018,male,Departmental Assistant -Hourly,Full Time Employee,12/22/18 0:00,365,7352.64,42612.7,U Mass Boston,MTA/NEA Classified (B32),B32,MTA/NEA Classified
2018,female,Certified Medical Asst U of M,Full Time Employee,3/17/18 0:00,85,7434.44,38057.24,U Mass Amherst,MTA/NEA USA Classified (A08),A08,MTA/NEA USA Classified
