program,python_experience,pandas_skill,os,hw0,env,dark_mode,languages,dob,waketime,sleep,favorite_movie,movie_genres,hobbies,num_languages,age
visiting undergraduate student,1-2 years,2.0,MacOS,🧐,mamba/micromamba,True,"english, chinese",2004-02-06,1900-01-01 08:50:00,7,interstellar,sci-fi,"biking, swimming, playing the piano",2,20.0
master's (ds) [extension school],4+ years,4.0,MacOS,😎,mamba/micromamba,False,"english, vietnamese, korean",1994-05-24,1900-01-01 09:00:00,9,,"action, comedy, drama, mystery/thriller, romance","traveling to korea, k-dramas, studying korean",3,30.0
master's (ds) [extension school],1-2 years,3.0,Windows,🧐,conda,False,english and tagalog,1986-08-10,1900-01-01 08:00:00,8+,the matrix,"action, comedy, horror, sci-fi, fantasy, mystery/thriller, documentary","cooking, gym workouts and video games",1,38.0
bachelor's (cs),1-2 years,3.0,MacOS,🧐,mamba/micromamba,True,"english, mandarin",2005-10-26,1900-01-01 10:00:00,7,forrest gump,"action, comedy, drama, mystery/thriller",playing chess,2,18.0
master's (ds) [extension school],2-4 years,3.0,MacOS,🍰,conda,True,english,,1900-01-01 06:00:00,8,pulp fiction,"comedy, documentary","tennis,backgammon,reading",1,
bachelor's (cs),Less than 1 year,2.0,MacOS,😅,mamba/micromamba,True,korean,2002-09-26,1900-01-01 12:00:00,5,divergent,"drama, romance","tennis, pickleball, golf",1,21.0
bachelor's (cs),1-2 years,4.0,MacOS,🧐,mamba/micromamba,False,"english, korean",2004-01-07,1900-01-01 08:00:00,7.5,a knight’s tale,"action, comedy, sci-fi, fantasy","violin, reading, video games",2,20.0
bachelor's (statistics),1-2 years,3.0,MacOS,🧐,mamba/micromamba,True,"spanish, chinese ",2005-07-20,1900-01-01 08:30:00,7,the emperors new groove,"drama, mystery/thriller, romance","eating, baking, sleeping",2,19.0
bachelor's (statistics),Less than 1 year,1.0,MacOS,😅,mamba/micromamba,False,"english, korean",2001-12-13,1900-01-01 05:22:00,6.5,"everything everywhere all at once, it's a wonderful life",documentary,"swimming, surfing, piano",2,22.0
master's (ds),4+ years,5.0,Windows,😱,conda,False,english,2002-02-20,1900-01-01 05:30:00,8,,"action, comedy, sci-fi, mystery/thriller",,1,22.0
phd,2-4 years,2.0,Windows,🍰,mamba/micromamba,True,english,2002-05-25,1900-01-01 09:00:00,8,rush hour,"action, comedy",,1,22.0
bachelor's (am),1-2 years,2.0,MacOS,😅,mamba/micromamba,True,"english, french, chinese",2004-06-28,1900-01-01 08:00:00,6,inception,"action, comedy, horror, mystery/thriller, romance","playing cello, dancing, walking outside",3,20.0
master's (cse),Less than 1 year,3.0,MacOS,🧐,mamba/micromamba,False,"japanese, english",1981-10-24,1900-01-01 06:00:00,6,jurassic park ,"action, sci-fi, documentary","numismatics, making unity games",2,42.0
master's (ds),2-4 years,4.0,MacOS,😎,conda,False,chinese,2002-03-31,1900-01-01 09:00:00,8,,"comedy, drama","doing sports, playing the piano, hiking",1,22.0
bachelor's (cs),4+ years,1.0,Linux,🍰,mamba/micromamba,True,"english, arabic",2002-09-03,1900-01-01 08:00:00,7,v for vendetta,"action, comedy, sci-fi, fantasy, mystery/thriller, documentary","programming, reading, movies",2,22.0
master's (ds),1-2 years,1.0,MacOS,😎,conda,True,english,1997-04-30,1900-01-01 07:00:00,8.5,the truman show,"action, comedy, drama, sci-fi, fantasy, mystery/thriller, romance, documentary","running, cooking, traveling ",1,27.0
master's (ds),4+ years,4.0,MacOS,🧐,mamba/micromamba,False,"english, estonian",,1900-01-01 05:00:00,7,the big lebowski,"action, comedy, drama","video games, working out",2,
master's (ds),Less than 1 year,2.0,MacOS,🧐,mamba/micromamba,True,"english, french, german, chinese",2001-03-27,1900-01-01 09:00:00,8.5,clueless,"comedy, romance","tennis, yoga, rewatching sitcoms",4,23.0
phd,Less than 1 year,1.0,MacOS,🧐,conda,True,"chinese, english",1999-03-04,1900-01-01 09:00:00,8,life matters,documentary,"fishing, reading fictions, playing computer games",2,25.0
bachelor's (dce),Less than 1 year,1.0,Windows,🍰,mamba/micromamba,True,"english, chinese",1997-12-12,1900-01-01 06:30:00,7,the dreamers,"comedy, mystery/thriller, romance","painting, swiming, traveling",2,26.0
ms/mba,Less than 1 year,2.0,Windows,😱,mamba/micromamba,True,"english, spanish",1993-06-23,1900-01-01 07:00:00,7,my cousin vinny,"action, comedy, documentary","cycling, golf, hiking",2,31.0
bachelor's (cs),1-2 years,3.0,MacOS,😅,mamba/micromamba,True,english,2003-07-24,1900-01-01 07:00:00,7,white chicks,romance,"reading, running, watching tv",1,21.0
master's (ds) [extension school],Less than 1 year,1.0,MacOS,😅,venv,True,"hindi, punjabi, urdu, french, english",1992-10-21,1900-01-01 06:30:00,4,goodfellas,"comedy, drama, mystery/thriller","bhangra, binge watching reality tv, running",5,31.0
bachelor's (cs),2-4 years,2.0,Windows,😎,mamba/micromamba,False,"english, mandarin chinese",2003-07-21,1900-01-01 09:00:00,7,after life (1998),"comedy, drama, romance","watching sitcoms, dancing, video games",2,21.0
bachelor's (am),1-2 years,3.0,MacOS,🧐,mamba/micromamba,True,"english, chinese, spanish",2003-04-09,1900-01-01 08:00:00,6,shawshank redemption,"action, comedy, drama, sci-fi, mystery/thriller","running, reading, skiing",3,21.0
bachelor's (cs),1-2 years,2.0,MacOS,😅,mamba/micromamba,True,"english, chinese",2004-08-06,1900-01-01 06:27:00,7.5,disney descendants,"action, comedy, sci-fi, romance, documentary","skiing, reading, watching movies",2,20.0
master's (mde),Less than 1 year,1.0,MacOS,😅,mamba/micromamba,True,"english, spanish, chinese",1996-10-24,1900-01-01 08:00:00,8,devil wears prada,"comedy, romance","working out, cooking, board games",3,27.0
bachelor's (cs),1-2 years,3.0,MacOS,😎,mamba/micromamba,False,english,2004-06-30,1900-01-01 08:00:00,6-7,magnolia,"drama, sci-fi, fantasy, mystery/thriller, romance, documentary","flying planes, motorcycling, writing",1,20.0
phd,1-2 years,2.0,MacOS,🧐,mamba/micromamba,False,"english, french",2002-05-11,1900-01-01 08:00:00,8,bridesmaids,"comedy, horror, romance","painting, drinking coffee, going to museums",2,22.0
bachelor's (cs),Less than 1 year,1.0,Windows,🧐,i don't have a working local environment yet,False,"chinese, english",2003-09-15,1900-01-01 08:30:00,8,ratatouille,"comedy, romance","reading romance novels, bell ringing, baking",2,20.0
bachelor's (statistics),Less than 1 year,1.0,MacOS,🧐,mamba/micromamba,False,"english, spanish",2003-11-28,1900-01-01 10:00:00,10,white house down,"action, comedy, romance","legos, painting, netflix",2,20.0
master's (mde),2-4 years,3.0,Windows,🍰,mamba/micromamba,True,english,2000-01-22,1900-01-01 07:30:00,8,interstellar,"comedy, sci-fi, mystery/thriller, documentary","hiking, reading, working out",1,24.0
phd,2-4 years,4.0,MacOS,🧐,conda,False,korean,1997-10-12,1900-01-01 06:00:00,8,legally blonde,"action, comedy, drama, romance","making art, exploring museums, traveling",1,26.0
phd,4+ years,3.0,Windows,🧐,i don't have a working local environment yet,True,"english, french, mandarin",1990-04-28,1900-01-01 07:00:00,8,the matrix,"action, sci-fi, documentary","piano, hiking, swim",3,34.0
master's (ds) [extension school],Less than 1 year,2.0,Windows,🧐,conda,False,"chinese, english ",1988-06-05,1900-01-01 07:00:00,6,,"action, comedy, sci-fi, fantasy, documentary","art, music, traveling ",2,36.0
bachelor's (cs),4+ years,3.0,Windows,🍰,conda,True,"english, chinese",2005-07-25,1900-01-01 10:00:00,8,the greatest showman,"action, comedy, drama, sci-fi, fantasy, mystery/thriller","ultimate frisbee, dance, watching netflix",2,19.0
master's (mde),Less than 1 year,2.0,MacOS,😅,mamba/micromamba,True,"spanish, english",1995-11-03,1900-01-01 07:40:00,6,the great beauty,drama,"playing the guitar, cooking, soccer",2,28.0
bachelor's (cs),4+ years,3.0,MacOS,😎,mamba/micromamba,False,"english, french",2002-12-11,1900-01-01 08:00:00,8,10 things i hate about you,"comedy, drama, horror, romance","reading, working out",2,21.0
bachelor's (am),Less than 1 year,1.0,MacOS,😅,i don't have a working local environment yet,True,"english, mandarin",2004-07-08,1900-01-01 08:30:00,8,memento,"action, comedy, drama, horror, mystery/thriller","swimming, climbing, running",2,20.0
bachelor's (am),2-4 years,1.0,Windows,😅,mamba/micromamba,True,"english, french",2004-12-02,1900-01-01 11:00:00,7,,"comedy, drama, fantasy, romance, documentary","listening to music, doing my hair, eating food",2,19.0
bachelor's (am),Less than 1 year,1.0,MacOS,😱,conda,True,"spanish, english, french",2003-09-17,1900-01-01 08:00:00,6,the gentlemen,"action, comedy, drama, fantasy","playing squash, watching soccer, reading",3,20.0
bachelor's (am),1-2 years,3.0,MacOS,😎,mamba/micromamba,True,"english, mandarin",2003-05-21,1900-01-01 07:45:00,7,fences,"action, drama, sci-fi, mystery/thriller, romance","gaming, reading, philosophy",2,21.0
master's (ds) [extension school],1-2 years,4.0,MacOS,🧐,mamba/micromamba,False,english,1995-07-14,1900-01-01 07:00:00,7,,"comedy, drama, fantasy, mystery/thriller, romance, documentary","running, video games, drawing",1,29.0
bachelor's (statistics),1-2 years,2.0,MacOS,🧐,mamba/micromamba,True,"english, nepali, hindi",2003-11-27,1900-01-01 07:00:00,6,,"comedy, mystery/thriller, romance","photography, running",3,20.0
master's (ds),4+ years,4.0,MacOS,😎,pipenv,True,english,1996-05-11,1900-01-01 07:00:00,9,interstellar,"comedy, horror, romance","relaxing, chilling, taking it easy ",1,28.0
master's (ds),1-2 years,3.0,MacOS,🍰,mamba/micromamba,True,englist,1999-06-01,1900-01-01 06:00:00,8,twilight,"comedy, sci-fi, documentary","running, hiking, sewing",1,25.0
bachelor's (economics),1-2 years,1.0,MacOS,😅,mamba/micromamba,True,english,2003-01-16,1900-01-01 07:30:00,7,forrest gump,"horror, mystery/thriller, romance, documentary","reading, photography, playing guitar",1,21.0
bachelor's (statistics),1-2 years,1.0,MacOS,😎,mamba/micromamba,False,english,2003-06-05,1900-01-01 11:00:00,9,goonies,"horror, mystery/thriller","cello, singing, drawing",1,21.0
bachelor's (am),1-2 years,1.0,MacOS,😅,mamba/micromamba,False,"english, mandarin, spanish (a little)",2004-05-10,1900-01-01 07:30:00,6,the pianist,"action, comedy, drama, sci-fi, romance, documentary","cafe hopping, thrifting, running",3,20.0
bachelor's (cs),2-4 years,2.0,MacOS,😎,mamba/micromamba,True,"bangla, englsih",,1900-01-01 05:30:00,5-6,avengers infinity war,"action, comedy, horror, sci-fi, fantasy, mystery/thriller, documentary","chess, photography, badminton",2,
bachelor's (cs),1-2 years,4.0,MacOS,😎,mamba/micromamba,True,english,,1900-01-01 12:00:00,3,,,,1,
bachelor's (cs),2-4 years,3.0,MacOS,😎,mamba/micromamba,True,python,2004-01-01,1900-01-01 08:00:00,6-7,harry potter,"action, comedy, drama, romance","crocheting, fencing, singing",1,20.0
bachelor's (environmental science and public policy) ,Less than 1 year,1.0,MacOS,😅,mamba/micromamba,True,"english, spanish, chinese",2003-06-01,1900-01-01 07:30:00,7,,"comedy, drama, romance, documentary","crochet, clarinet, dance",3,21.0
bachelor's (physics),1-2 years,1.0,Windows,🧐,mamba/micromamba,True,english,2003-03-21,1900-01-01 08:00:00,7,lawrence of arabia,"comedy, drama, sci-fi, fantasy, mystery/thriller","playing spikeball, watching the sopranos, reading",1,21.0
bachelor's (am),Less than 1 year,1.0,MacOS,🧐,mamba/micromamba,True,english,2002-10-04,1900-01-01 08:00:00,8,the interview,"action, comedy, drama, sci-fi","reading, tanning, drinking",1,21.0
master's (ds) [extension school],1-2 years,2.0,Windows,😎,mamba/micromamba,False,"native english, fading proficiency in french, a little norwegian",1966-06-23,1900-01-01 06:30:00,7.5,"tie: amélie, the big lebowski","comedy, drama, sci-fi, romance, documentary","running, bread baking, native plant gardening",3,58.0
bachelor's (statistics),Less than 1 year,2.0,MacOS,🧐,mamba/micromamba,False,"vietnamese, english",,1900-01-01 08:00:00,7,,"comedy, drama","reading, learning chinese, hanging out with friends",2,
master's (cse)]extension school],Less than 1 year,1.0,Windows,😅,mamba/micromamba,True,"english, japanese",1990-09-07,1900-01-01 08:30:00,6,princess bride,"action, comedy, drama, horror, sci-fi, fantasy, mystery/thriller, romance","collecting headphones, going on walks, video games",2,34.0
bachelor's (am),Less than 1 year,2.0,MacOS,😎,mamba/micromamba,False,"english, spanish, french, mandarin",2003-08-18,1900-01-01 07:30:00,8,the big short,"action, comedy, drama, mystery/thriller, romance, documentary",running,4,21.0
master's (ds) [extension school],4+ years,3.0,Windows,😎,mamba/micromamba,True,english,1996-06-27,1900-01-01 08:00:00,7,lord of the rings,"action, sci-fi, fantasy","reading, strategy games, swimming",1,28.0
master's (ds) [extension school],1-2 years,3.0,MacOS,🧐,conda,True,"english, hindi, marathi",,1900-01-01 05:00:00,8,matrix ,"action, comedy, drama, sci-fi, fantasy, romance","hiking, cycling, wine testing",3,
master's (ds) [extension school],4+ years,4.0,MacOS,😎,mamba/micromamba,True,"tamil, english",1983-03-01,1900-01-01 05:30:00,7,shawshank redemption,"action, drama, fantasy, documentary","baking, gardening, listening to podcasts",2,41.0
bachelor's (statistics),Less than 1 year,1.0,MacOS,😅,i don't have a working local environment yet,False,"english, chinese, arabic",2004-05-02,1900-01-01 06:00:00,7,rocky iv ,"action, comedy, sci-fi",,3,20.0
bachelors (neuroscience) ,1-2 years,3.0,MacOS,🧐,conda,True,"spanish, english",2004-04-03,1900-01-01 07:00:00,7,,"action, comedy, drama, mystery/thriller, romance, documentary","dancing, tennis, eating",2,20.0
phd,4+ years,3.0,Linux,😎,mamba/micromamba,True,"english, yiddish, german, russian, hebrew",1999-02-19,1900-01-01 07:00:00,7,sunset boulevard,"action, comedy, drama, sci-fi","playing mandolin, watching river monsters, jumping up and down",5,25.0
master's (ds) [extension school],1-2 years,3.0,Windows,🧐,mamba/micromamba,False,"thai,english",1972-12-20,1900-01-01 05:00:00,6,avenger,"action, sci-fi, romance, documentary","gardening, traveling, doing 109a homework",1,51.0
bachelor's (am),Less than 1 year,1.0,MacOS,🧐,mamba/micromamba,False,"english, vietnamese, chinese",2002-01-27,1900-01-01 07:00:00,6,interstellar,"action, comedy, sci-fi, fantasy, mystery/thriller, documentary","playing volleyball, running, reading",3,22.0
master's (ds) [extension school],1-2 years,4.0,Linux,😎,mamba/micromamba,True,"english, punjabi, hindi",1986-01-10,1900-01-01 07:00:00,8,speed,"comedy, horror, mystery/thriller, documentary","traveling, reading, car racing",3,38.0
bachelor's (cs),1-2 years,3.0,Windows,😎,mamba/micromamba,True,"english, mandarin",,1900-01-01 09:45:00,,,,,2,
bachelor's (cs),Less than 1 year,1.0,MacOS,😎,mamba/micromamba,False,"english, mandarin",2005-08-11,1900-01-01 08:00:00,6,crazy rich asians,"action, comedy, romance","tennis, journaling, walking",2,19.0
bachelor's (economics),Less than 1 year,3.0,MacOS,🧐,mamba/micromamba,False,"english, spanish",2004-03-08,1900-01-01 09:30:00,9,the man from uncle,"action, comedy, sci-fi, fantasy, mystery/thriller, romance","baking, reading books, going for walks",2,20.0
bachelor's (am),2-4 years,2.0,MacOS,🍰,mamba/micromamba,False,english,2003-09-07,1900-01-01 08:45:00,9,,"comedy, sci-fi, fantasy, romance","painting, walking my dog, tiktok watching",1,21.0
bachelor's (cs),2-4 years,4.0,MacOS,😎,conda,True,"english, chinese",2004-05-31,1900-01-01 09:00:00,7,spirited away,"action, mystery/thriller, romance","swimming, playing tennis, hanging out with friends",2,20.0
cross-registered from mit,2-4 years,3.0,MacOS,🧐,mamba/micromamba,False,"mandarin, english",2000-01-22,1900-01-01 08:00:00,7,god of gamblers,"action, comedy","cardistry, dancing, cooking",2,24.0
bachelor's (am),1-2 years,1.0,MacOS,😅,i don't have a working local environment yet,False,"english, serbian, croatian",2002-10-01,1900-01-01 09:00:00,8,interstellar,"action, horror, sci-fi, fantasy, mystery/thriller","water polo, basketball, gym",3,21.0
bachelor's (am),Less than 1 year,1.0,MacOS,😅,i don't have a working local environment yet,False,english,2002-07-17,1900-01-01 08:00:00,8,jerry and marge go large,"action, comedy, mystery/thriller","golf, baseball, football",1,22.0
phd,1-2 years,2.0,MacOS,😎,other,False,"english, spanish, german, french",2001-07-25,1900-01-01 08:00:00,8,about time,"comedy, drama, fantasy, romance, documentary","hiking, running, climbing",4,23.0
bachelor's (cs),2-4 years,3.0,MacOS,🍰,mamba/micromamba,True,"english, italian, portuguese, french",2002-09-18,1900-01-01 06:00:00,7.5,the incredibles,"action, comedy, sci-fi, fantasy, mystery/thriller","solving the rubik's cube, playing the guitar",4,21.0
bachelor's (am),2-4 years,3.0,MacOS,😅,i don't have a working local environment yet,False,"english, portuguese, spanish",2002-12-02,1900-01-01 09:30:00,8,up,romance,"reading, soccer, board games ",3,21.0
bachelor's (astrophysics),2-4 years,4.0,MacOS,😎,conda,True,english,2005-04-11,1900-01-01 10:00:00,6,moneyball,"comedy, sci-fi","basketball, running, music",1,19.0
bachelor's (am),Less than 1 year,1.0,MacOS,😱,mamba/micromamba,True,"spanish, english",2002-07-19,1900-01-01 08:00:00,7,harry potter,"action, comedy, drama, sci-fi, fantasy, romance","hiit, watching netflix, dining",2,22.0
bachelor's (social studies),1-2 years,1.0,MacOS,🧐,mamba/micromamba,True,"english, german, italian",,,6.5,,"comedy, drama, documentary",,3,
master's cbqg,Less than 1 year,1.0,MacOS,🧐,mamba/micromamba,True,chinese,2001-08-17,1900-01-01 09:00:00,8,harry potter(?,"action, comedy, drama, sci-fi, mystery/thriller, romance, documentary","horse riding, dancing, drawing",1,23.0
master's (ds),2-4 years,4.0,MacOS,😎,i don't have a working local environment yet,True,google colab,2001-12-21,1900-01-01 08:30:00,5,,,tennis/violin,1,22.0
master's (ds) [extension school],4+ years,4.0,MacOS,😎,venv,False,"spanish, english",1999-07-08,1900-01-01 07:00:00,7,the big short,"drama, mystery/thriller, documentary","street photography, music (listening - playing guitar - making beats), reading books",2,25.0
ms in cbqg,1-2 years,3.0,MacOS,🧐,mamba/micromamba,False,"chinese, english",2003-01-04,1900-01-01 09:30:00,6,barbie in a mermaid tale,"comedy, drama","cooking, making coffee, trying different sports",2,21.0
bachelor's (cs),2-4 years,2.0,MacOS,😎,mamba/micromamba,True,"english, spanish",2004-04-17,1900-01-01 08:00:00,7,paddington ,"action, comedy, drama, romance","listening to music, going on walks, hanging out with friends",2,20.0
phd,Less than 1 year,1.0,MacOS,🧐,mamba/micromamba,False,"english, chinese, spanish",1998-05-11,1900-01-01 08:00:00,8,,"action, drama, sci-fi",,3,26.0
bachelor's (econ),4+ years,4.0,MacOS,🍰,mamba/micromamba,True,"hebrew, english, spanish",2003-07-18,1900-01-01 10:00:00,8,city of gods,action,"pottery, glassblowing, muay thai",3,21.0
bachelor's (cs),2-4 years,2.0,MacOS,😎,mamba/micromamba,True,"english, korean",2001-10-20,1900-01-01 10:00:00,8,,"action, comedy, fantasy, romance",,2,22.0
master's (cse),4+ years,2.0,MacOS,😅,mamba/micromamba,True,english,,,,,,,1,
master's (ds) [extension school],2-4 years,,MacOS,🍰,mamba/micromamba,True,"english, nepali, spanish",1989-02-18,1900-01-01 10:00:00,6,grand budapest hotel,"comedy, sci-fi","reading, watching tv shows, puzzles",3,35.0
phd,Less than 1 year,2.0,MacOS,🧐,mamba/micromamba,True,"mandarin, english",1996-11-21,1900-01-01 08:45:00,9,,"comedy, sci-fi, romance, documentary",,2,27.0
bachelor's (cs),1-2 years,1.0,MacOS,🧐,mamba/micromamba,True,"english, spanish ",2003-01-16,1900-01-01 07:00:00,7,avatar,"action, comedy, drama, sci-fi, romance","playing sports, watching movies, problem solving ",2,21.0
master's (ds),1-2 years,4.0,MacOS,😅,conda,True,"chinese, english",2002-03-24,1900-01-01 09:00:00,8,idk,"comedy, sci-fi","hold'em, golf, badminton",2,22.0
master's (ds) [extension school],Less than 1 year,2.0,Windows,😅,mamba/micromamba,False,"english, arabic",1983-08-18,1900-01-01 07:00:00,7,not sure,"action, comedy, drama, horror, mystery/thriller","traveling, movies, sports",2,41.0
ms/mba,1-2 years,3.0,MacOS,🧐,mamba/micromamba,False,mandarin ,2001-05-16,1900-01-01 09:30:00,7,titanic ,"action, horror, sci-fi, fantasy, mystery/thriller","walk dog, listen to kpop music",1,23.0
bachelor's (cs),1-2 years,2.0,MacOS,🧐,mamba/micromamba,False,"english, hebrew",2004-02-18,1900-01-01 07:30:00,7,bridge on the river kwai,documentary,"running, bike riding, and watching netflix",2,20.0
bachelor's (am),1-2 years,3.0,MacOS,😅,i don't have a working local environment yet,True,"english, urdu, french",2003-01-23,1900-01-01 08:00:00,5,inception,"action, drama, sci-fi, fantasy, mystery/thriller","tennis, swimming, video games",3,21.0
master's (ds),2-4 years,3.0,Windows,😅,mamba/micromamba,False,"english, gujurati, spanish",2002-07-27,1900-01-01 08:00:00,7,"red, white, and royal blue","comedy, drama, sci-fi, fantasy, romance","video games, tennis, weather",3,22.0
bachelor's (am),2-4 years,3.0,MacOS,😎,mamba/micromamba,False,"english, spanish",2024-09-10,1900-01-01 05:30:00,8,hacksaw ridge,"action, comedy, horror, sci-fi, fantasy","football, listening to music, bartending",2,0.0
master's (ds),1-2 years,4.0,MacOS,😎,mamba/micromamba,True,english,2002-03-19,1900-01-01 08:00:00,8,star wars: episode iii,"action, sci-fi","playing tennis, watching star wars or harry potter, watching football",1,22.0
undeclared concentration,Less than 1 year,1.0,Windows,😎,mamba/micromamba,False,"english, swedish",2004-11-28,1900-01-01 06:30:00,7.5,the princess bride,"comedy, sci-fi, fantasy","cross country skiing, ultimate frisbee, board games",2,19.0
bachelor's (cs),2-4 years,1.0,Windows,😎,mamba/micromamba,False,"english, french",2004-04-05,1900-01-01 07:00:00,8,,"action, sci-fi","piano, hiking, solving rubik's cubes ",2,20.0
bachelor's (statistics),Less than 1 year,1.0,Windows,😅,mamba/micromamba,False,"english, nepali",2004-05-05,1900-01-01 07:00:00,7,soul,"action, comedy, fantasy",playing guitar,2,20.0
phd,Less than 1 year,1.0,MacOS,🧐,mamba/micromamba,False,english,1999-01-11,1900-01-01 06:00:00,8,eternal sunshine of the spotless mind,"comedy, mystery/thriller, romance, documentary","running, reading, painting",1,25.0
bachelor's (cs),2-4 years,3.0,MacOS,😎,mamba/micromamba,True,"english, french, spanish, mandarin",2005-05-18,1900-01-01 08:30:00,9,50 shades of grey,"action, comedy, romance, documentary",,4,19.0
bachelor's (cs),1-2 years,1.0,MacOS,🧐,mamba/micromamba,True,"arabic, english, french",2002-04-24,1900-01-01 08:00:00,8,,"action, comedy, drama, sci-fi, romance","playing the guitar, playing tennis, watching soccer",3,22.0
bachelor's (cs),4+ years,4.0,MacOS,😎,mamba/micromamba,True,"english, chinese",2005-03-21,1900-01-01 08:00:00,7,interstellar,"action, comedy, drama, sci-fi, fantasy, mystery/thriller, romance, documentary","opera, baking, sci-fi",2,19.0
bachelor's (cs),4+ years,4.0,MacOS,😎,conda,True,"english, chinese, spanish, python, java",2004-02-15,1900-01-01 09:30:00,7,everything everywhere all at once,"action, comedy, drama, fantasy, romance","ballet, reading, trying new foods",5,20.0
ms/mba,1-2 years,2.0,MacOS,🧐,mamba/micromamba,True,"hebrew, english ",1994-06-18,1900-01-01 09:40:00,7,the big short,"action, comedy","basketball, snowboard, music",2,30.0
bachelor's (physics),Less than 1 year,1.0,MacOS,😅,mamba/micromamba,False,"pashto, farsi, hindi, arabic",,1900-01-01 08:00:00,7.75,dead poets society,"action, comedy, sci-fi, mystery/thriller, documentary","chess, rollerblading, poker",4,
